iter	Passed	Remaining
223	1197	4150
224	1200	4135
225	1203	4120
226	1206	4107
227	1209	4096
228	1219	4107
229	1223	4095
230	1226	4082
231	1231	4075
232	1233	4061
233	1236	4048
234	1239	4033
235	1241	4020
236	1247	4015
237	1250	4005
238	1253	3992
239	1256	3979
240	1259	3967
241	1262	3955
242	1265	3941
243	1267	3927
244	1270	3914
245	1274	3907
246	1278	3897
247	1281	3886
248	1284	3874
249	1287	3861
250	1289	3848
251	1292	3834
252	1294	3822
253	1297	3809
254	1299	3796
255	1303	3789
256	1307	3779
257	1309	3767
258	1312	3754
259	1315	3745
260	1339	3792
261	1342	3780
262	1347	3777
263	1350	3765
264	1353	3753
265	1355	3740
266	1373	3771
267	1377	3762
268	1380	3751
269	1384	3742
270	1387	3732
271	1390	3722
272	1395	3715
273	1400	3711
274	1404	3702
275	1407	3691
276	1409	3679
277	1412	3668
278	1418	3666
279	1423	3659
280	1427	3651
281	1431	3644
282	1434	3633
283	1438	3625
284	1441	3617
285	1445	3607
286	1448	3597
287	1451	3588
288	1454	3578
289	1457	3567
290	1460	3557
291	1466	3554
292	1469	3544
293	1472	3534
294	1476	3527
295	1479	3518
296	1481	3507
297	1485	3499
298	1488	3489
299	1491	3479
300	1493	3468
301	1495	3457
302	1498	3446
303	1500	3435
304	1502	3424
305	1505	3414
306	1508	3404
307	1510	3393
308	1512	3383
309	1515	3372
310	1517	3362
311	1519	3351
312	1522	3341
313	1526	3334
314	1529	3326
315	1532	3317
316	1535	3308
317	1539	3301
318	1543	3294
319	1545	3284
320	1547	3273
321	1550	3264
322	1552	3254
323	1555	3244
324	1557	3235
325	1560	3226
326	1563	3216
327	1566	3208
328	1568	3199
329	1571	3190
330	1573	3180
331	1576	3171
332	1579	3164
333	1607	3204
334	1610	3197
335	1618	3198
336	1632	3211
337	1638	3208
338	1649	3216
339	1653	3208
340	1660	3208
341	1663	3200
342	1666	3191
343	1671	3186
344	1674	3178
345	1678	3171
346	1681	3163
347	1684	3156
348	1687	3147
349	1690	3139
350	1693	3130
351	1695	3121
352	1698	3113
353	1702	3106
354	1705	3098
355	1708	3090
356	1712	3083
357	1716	3077
358	1719	3070
359	1723	3063
360	1725	3054
361	1729	3047
362	1731	3039
363	1735	3031
364	1738	3023
365	1740	3015
366	1743	3007
367	1745	2998
368	1748	2990
369	1751	2981
370	1754	2975
371	1757	2966
372	1760	2958
373	1762	2950
374	1765	2942
375	1767	2933
376	1770	2926
377	1773	2918
378	1776	2910
379	1779	2903
380	1782	2895
381	1785	2889
382	1788	2881
383	1794	2878
384	1798	2872
385	1809	2877
386	1817	2879
387	1828	2884
388	1836	2884
389	1842	2881
390	1846	2876
391	1849	2869
392	1852	2861
393	1856	2855
394	1859	2848
395	1866	2846
396	1869	2839
397	1872	2832
398	1878	2829
399	1886	2829
400	1890	2824
401	1900	2826
402	1903	2819
403	1907	2813
404	1910	2807
405	1913	2799
406	1916	2791
407	1919	2785
408	1924	2780
409	1926	2772
410	1931	2768
411	1939	2768
412	1943	2762
413	1947	2755
414	1954	2754
415	1959	2750
416	1968	2752
417	1975	2750
418	1981	2747
419	1986	2742
420	1989	2735
421	1993	2730
422	1997	2724
423	2010	2731
424	2014	2724
425	2023	2726
426	2026	2718
427	2028	2710
428	2031	2704
429	2034	2696
430	2037	2689
431	2039	2681
432	2042	2674
433	2048	2672
434	2052	2666
435	2056	2660
436	2061	2656
437	2064	2649
438	2086	2666
439	2117	2694
440	2119	2686
441	2122	2679
442	2125	2672
443	2128	2664
444	2131	2657
445	2137	2654
446	2142	2650
447	2148	2646
448	2150	2639
449	2153	2631
450	2155	2624
451	2157	2616
452	2160	2608
453	2163	2601
454	2165	2594
455	2169	2587
456	2172	2580
457	2175	2574
458	2195	2587
459	2197	2580
460	2200	2573
461	2203	2565
462	2205	2558
463	2208	2550
464	2210	2543
465	2213	2536
466	2216	2529
467	2218	2522
468	2221	2515
469	2224	2508
470	2226	2500
471	2228	2493
472	2231	2486
473	2233	2478
474	2236	2471
475	2238	2464
476	2241	2457
477	2244	2450
478	2246	2443
479	2249	2436
480	2251	2429
481	2254	2422
482	2256	2415
483	2277	2427
484	2337	2481
485	2339	2473
486	2342	2467
487	2344	2460
488	2347	2453
489	2379	2476
490	2382	2470
491	2385	2463
492	2388	2456
493	2391	2449
494	2394	2443
495	2397	2436
496	2401	2430
497	2405	2425
498	2408	2418
499	2431	2431
500	2434	2425
501	2438	2419
502	2444	2415
503	2460	2421
504	2463	2414
505	2466	2408
506	2470	2402
507	2474	2396
508	2479	2392
509	2483	2385
510	2486	2379
511	2505	2388
512	2509	2382
513	2513	2377
514	2517	2370
515	2521	2364
516	2524	2358
517	2527	2351
518	2530	2344
519	2533	2338
520	2535	2331
521	2537	2323
522	2541	2317
523	2548	2315
524	2566	2322
525	2573	2319
526	2581	2316
527	2585	2311
528	2588	2305
529	2593	2300
530	2596	2293
531	2599	2287
532	2602	2280
533	2606	2274
534	2609	2268
535	2612	2261
536	2614	2254
537	2617	2247
538	2620	2241
539	2623	2235
540	2626	2228
541	2629	2221
542	2632	2215
543	2634	2208
544	2639	2204
545	2642	2197
546	2646	2191
547	2649	2185
548	2653	2179
549	2656	2173
550	2659	2167
551	2663	2161
552	2666	2155
553	2669	2148
554	2672	2143
555	2676	2136
556	2679	2131
557	2723	2157
558	2730	2154
559	2733	2148
560	2739	2143
561	2742	2137
562	2746	2131
563	2753	2128
564	2761	2126
565	2781	2132
566	2787	2128
567	2791	2122
568	2794	2116
569	2797	2110
570	2801	2104
571	2804	2098
572	2807	2092
573	2811	2086
574	2814	2080
575	2817	2073
576	2820	2067
577	2824	2062
578	2827	2056
579	2830	2049
580	2833	2043
581	2846	2044
582	2855	2042
583	2863	2039
584	2866	2033
585	2874	2031
586	2905	2044
587	2912	2040
588	2919	2037
589	2927	2034
590	2929	2027
591	2973	2049
592	2976	2042
593	2979	2036
594	2984	2031
595	2987	2025
596	2990	2018
597	2993	2012
598	2996	2005
599	2998	1999
600	3001	1992
601	3004	1986
602	3006	1979
603	3009	1972
604	3012	1966
605	3015	1960
606	3017	1953
607	3020	1947
608	3022	1940
609	3025	1934
610	3027	1927
611	3029	1920
612	3031	1913
613	3057	1921
614	3060	1916
615	3065	1910
616	3070	1905
617	3106	1920
618	3109	1914
619	3130	1918
620	3140	1916
621	3144	1910
622	3149	1906
623	3155	1901
624	3158	1895
625	3164	1890
626	3168	1885
627	3173	1879
628	3180	1875
629	3189	1872
630	3196	1869
631	3201	1864
632	3205	1858
633	3208	1852
634	3210	1845
635	3213	1839
636	3215	1832
637	3218	1826
638	3220	1819
639	3234	1819
640	3237	1813
641	3240	1807
642	3248	1803
643	3255	1799
644	3267	1798
645	3272	1793
646	3300	1800
647	3304	1794
648	3308	1789
649	3311	1783
650	3314	1776
651	3320	1772
652	3328	1768
653	3331	1762
654	3334	1756
655	3337	1750
656	3341	1744
657	3345	1739
658	3350	1733
659	3369	1735
660	3374	1730
661	3395	1733
662	3398	1727
663	3401	1721
664	3405	1715
665	3407	1709
666	3410	1702
667	3413	1696
668	3418	1691
669	3420	1684
670	3423	1678
671	3425	1672
672	3427	1665
673	3430	1659
674	3432	1652
675	3434	1646
676	3437	1639
677	3439	1633
678	3442	1627
679	3444	1620
680	3446	1614
681	3454	1610
682	3456	1604
683	3459	1598
684	3464	1593
685	3473	1589
686	3476	1583
687	3479	1577
688	3481	1571
689	3484	1565
690	3487	1559
691	3490	1553
692	3525	1561
693	3529	1556
694	3532	1550
695	3535	1544
696	3540	1539
697	3545	1534
698	3549	1528
699	3560	1526
700	3568	1521
701	3597	1527
702	3612	1526
703	3617	1520
704	3622	1515
705	3627	1510
706	3630	1504
707	3633	1498
708	3636	1492
709	3639	1486
710	3641	1480
711	3645	1474
712	3650	1469
713	3653	1463
714	3656	1457
715	3659	1451
716	3662	1445
717	3665	1439
718	3669	1433
719	3672	1428
720	3676	1422
721	3679	1416
722	3682	1410
723	3684	1404
724	3687	1398
725	3690	1392
726	3694	1387
727	3705	1384
728	3708	1378
729	3711	1372
730	3714	1366
731	3717	1360
732	3722	1355
733	3727	1350
734	3732	1345
735	3736	1340
736	3740	1334
737	3746	1330
738	3749	1324
739	3753	1318
740	3756	1312
741	3758	1307
742	3761	1301
743	3763	1295
744	3783	1295
745	3788	1289
746	3792	1284
747	3796	1278
748	3800	1273
749	3802	1267
750	3806	1262
751	3811	1256
752	3814	1251
753	3817	1245
754	3820	1239
755	3824	1234
756	3828	1229
757	3864	1233
758	3868	1228
759	3870	1222
760	3873	1216
761	3875	1210
762	3878	1204
763	3886	1200
764	3889	1194
765	3891	1188
766	3894	1183
767	3897	1177
768	3910	1174
769	3916	1169
770	3919	1164
771	3923	1158
772	3926	1153
773	3934	1148
774	3939	1143
775	3962	1143
776	3968	1138
777	3972	1133
778	3975	1127
779	3978	1122
780	3984	1117
781	3990	1112
782	3995	1107
783	3999	1101
784	4003	1096
785	4006	1090
786	4010	1085
787	4013	1079
788	4017	1074
789	4023	1069
790	4028	1064
791	4033	1059
792	4037	1054
793	4040	1048
794	4043	1042
795	4047	1037
796	4051	1032
797	4055	1026
798	4064	1022
799	4067	1016
800	4072	1011
801	4076	1006
802	4078	1000
803	4095	998
804	4116	997
805	4119	991
806	4122	986
807	4126	980
808	4129	974
809	4132	969
810	4135	963
811	4141	958
812	4158	956
813	4168	952
814	4171	946
815	4174	941
816	4177	935
817	4180	930
818	4186	925
819	4193	920
820	4196	914
821	4200	909
822	4202	903
823	4212	899
824	4218	894
825	4227	890
826	4248	888
827	4276	888
828	4296	886
829	4299	880
830	4304	875
831	4310	870
832	4316	865
833	4322	860
834	4325	854
835	4335	850
836	4345	846
837	4371	845
838	4377	840
839	4381	834
840	4384	828
841	4387	823
842	4390	817
843	4392	811
844	4395	806
845	4397	800
846	4400	794
847	4403	789
848	4409	784
849	4413	778
850	4418	773
851	4421	768
852	4425	762
853	4435	758
854	4440	753
855	4444	747
856	4458	743
857	4462	738
858	4466	733
859	4469	727
860	4472	721
861	4475	716
862	4478	710
863	4481	705
864	4484	699
865	4486	694
866	4489	688
867	4491	683
868	4494	677
869	4497	671
870	4500	666
871	4503	661
872	4505	655
873	4508	649
874	4510	644
875	4513	638
876	4517	633
877	4521	628
878	4524	622
879	4533	618
880	4536	612
881	4540	607
882	4556	603
883	4600	603
884	4604	598
885	4607	592
886	4615	588
887	4618	582
888	4621	576
889	4624	571
890	4626	566
891	4629	560
892	4633	555
893	4636	549
894	4640	544
895	4647	539
896	4655	534
897	4659	529
898	4662	523
899	4664	518
900	4666	512
901	4669	507
902	4671	501
903	4674	496
904	4676	490
905	4684	486
906	4687	480
907	4692	475
908	4696	470
909	4700	464
910	4708	459
911	4713	454
912	4717	449
913	4726	444
914	4732	439
915	4808	440
916	4811	435
917	4813	429
918	4816	424
919	4818	419
920	4821	413
921	4824	408
922	4826	402
923	4829	397
924	4832	391
925	4834	386
926	4837	380
927	4840	375
928	4843	370
929	4847	364
930	4851	359
931	4856	354
932	4860	349
933	4865	343
934	4869	338
935	4874	333
936	4879	328
937	4884	322
938	4888	317
939	4893	312
940	4897	307
941	4901	301
942	4905	296
943	4916	291
944	4925	286
945	4938	281
946	4973	278
947	4983	273
948	4989	268
949	4992	262
950	4995	257
951	4997	251
952	5000	246
953	5004	241
954	5006	235
955	5008	230
956	5011	225
957	5013	219
958	5015	214
959	5017	209
960	5019	203
961	5021	198
962	5024	193
963	5026	187
964	5029	182
965	5031	177
966	5033	171
967	5037	166
968	5040	161
969	5043	155
970	5045	150
971	5047	145
972	5049	140
973	5051	134
974	5054	129
975	5056	124
976	5059	119
977	5061	113
978	5064	108
979	5066	103
980	5069	98
981	5072	92
982	5075	87
983	5077	82
984	5080	77
985	5082	72
986	5085	66
987	5088	61
988	5092	56
989	5096	51
990	5098	46
991	5105	41
992	5113	36
993	5116	30
994	5118	25
995	5121	20
996	5123	15
997	5125	10
998	5129	5
999	5132	0
